account_id,customer_name,customer_type,branch,account_open_date,risk_score
A00109,Yug Chakrabarti,Individual,Hyderabad,2023-06-15,0.87
A00110,Vansha Sarin,Individual,Kolkata,2016-12-16,0.62
A00111,Ojasvi Pai,Offshore,Delhi,2023-01-03,0.27
A00112,Anjali Kata,Offshore,Kolkata,2020-05-21,0.21
A00113,Brinda Shukla,Offshore,Kolkata,2020-06-06,0.57
A00114,Sudiksha Gulati,Individual,Mumbai,2016-09-07,0.48
A00115,Raagini Sharaf,Offshore,Mumbai,2020-10-02,0.88
A00116,Wishi Ram,Shell,Kolkata,2020-12-31,0.72
A00117,Champak Sibal,Individual,Hyderabad,2024-01-26,0.87
A00118,Gaurav Chacko,Offshore,Hyderabad,2018-10-03,0.28
A00119,Veda Ratti,Offshore,Kolkata,2015-10-31,0.7
A00120,Abhiram Narula,Individual,Kolkata,2016-03-13,0.99
A00121,Luke Agarwal,Business,Chennai,2020-10-25,0.83
A00122,Ojasvi Narang,Shell,Bangalore,2020-02-24,0.32
A00123,Yashvi Ganesan,Business,Chennai,2019-04-17,0.01
A00124,Hemang Butala,Individual,Chennai,2024-05-07,0.72
A00125,Aarav Tripathi,Individual,Mumbai,2025-02-03,0.29
A00126,Kiaan Narayan,Individual,Delhi,2016-10-30,0.12
A00127,Yasti Krishnan,Individual,Delhi,2019-03-09,0.18
A00128,Ira Chaudhary,Business,Bangalore,2024-01-01,0.7
A00129,Chaitaly Narayanan,Business,Chennai,2023-09-16,0.82
A00130,Upadhriti Dora,Individual,Delhi,2023-11-12,0.15
A00131,Dhriti Nayar,Individual,Chennai,2022-04-13,0.55
A00132,Shaurya Bose,Individual,Delhi,2017-02-22,0.03
A00133,Hitesh Sur,Offshore,Chennai,2023-07-28,0.9
A00134,Ekiya Iyengar,Business,Hyderabad,2023-04-19,0.91
A00135,Zashil Sampath,Offshore,Mumbai,2017-11-21,0.11
A00136,Tanvi Yogi,Individual,Bangalore,2021-05-06,0.18
A00137,Oliver Garde,Individual,Chennai,2023-08-11,0.05
A00138,Girindra Loyal,Offshore,Mumbai,2018-08-07,0.29
A00139,Sathvik Varghese,Shell,Hyderabad,2021-07-30,0.68
A00140,Balendra Sem,Individual,Kolkata,2021-05-27,0.76
A00141,Ikbal Hayer,Shell,Mumbai,2024-11-13,0.49
A00142,Yashvi Varkey,Offshore,Bangalore,2024-03-05,0.74
A00143,Vihaan Mand,Offshore,Hyderabad,2021-07-17,0.98
A00144,Akshay Sha,Business,Chennai,2020-12-05,0.97
A00145,Vincent Parmar,Individual,Chennai,2018-03-23,0.39
A00146,Ishwar Viswanathan,Shell,Kolkata,2022-05-12,0.66
A00147,Abha Chana,Offshore,Bangalore,2016-08-16,0.93
A00148,Bachittar Balakrishnan,Offshore,Bangalore,2025-08-07,0.46
A00149,Hiral Raju,Business,Chennai,2024-12-24,0.33
A00150,Max Golla,Offshore,Delhi,2016-07-17,0.91
A00151,Maanas Swaminathan,Individual,Hyderabad,2021-02-21,0.96
A00152,Tripti Balan,Individual,Mumbai,2022-04-01,0.56
A00153,Lohit Iyer,Business,Chennai,2015-10-25,0.82
A00154,Anmol Sethi,Offshore,Bangalore,2019-09-10,0.75
A00155,Udant Rastogi,Offshore,Hyderabad,2019-02-09,0.31
A00156,Omaja Kata,Shell,Delhi,2023-02-08,0.75
A00157,Lila Chauhan,Offshore,Kolkata,2017-07-26,0.96
A00158,Udant Sibal,Individual,Hyderabad,2021-06-16,0.21
A00159,Yashica Datta,Offshore,Hyderabad,2020-05-09,0.22
A00160,Lipika Vaidya,Shell,Hyderabad,2015-12-29,0.88
A00161,Chaaya Varkey,Individual,Hyderabad,2022-11-09,0.72
A00162,Chasmum Baral,Shell,Chennai,2020-11-05,0.15
A00163,Netra Ray,Individual,Bangalore,2023-10-02,0.75
A00164,Deepa Mannan,Individual,Mumbai,2018-11-28,0.66
A00165,Gaurang Wason,Individual,Bangalore,2021-06-30,0.94
A00166,Yashoda Subramaniam,Offshore,Delhi,2017-03-08,0.18
A00167,Krishna Ahluwalia,Offshore,Mumbai,2022-08-13,0.24
A00168,Bhavya Mall,Shell,Bangalore,2025-01-19,0.43
A00169,Ishanvi Purohit,Individual,Delhi,2023-01-06,0.48
A00170,George Dixit,Offshore,Delhi,2022-07-28,0.36
A00171,Anusha Mallick,Individual,Delhi,2016-12-27,0.27
A00172,Imaran Loyal,Business,Kolkata,2019-10-10,0.97
A00173,Bhanumati Mittal,Business,Bangalore,2023-10-02,0.03
A00174,Chavvi Dhillon,Offshore,Chennai,2017-06-19,0.41
A00175,Lopa Munshi,Shell,Kolkata,2018-12-03,0.01
A00176,Oscar Patla,Individual,Hyderabad,2018-12-07,0.61
A00177,Oscar Kaul,Offshore,Mumbai,2022-12-03,0.67
A00178,Prisha Chaudhari,Business,Chennai,2024-06-19,0.11
A00179,Meghana Kale,Shell,Mumbai,2019-01-02,0.85
A00180,Keya Rau,Offshore,Bangalore,2020-08-26,0.85
A00181,Darpan Buch,Individual,Mumbai,2019-03-14,0.15
A00182,Noah Goyal,Individual,Hyderabad,2024-12-28,0.95
A00183,Forum Chacko,Shell,Kolkata,2018-03-02,0.36
A00184,Yatan Singh,Shell,Hyderabad,2019-07-28,0.76
A00185,Elijah Kari,Offshore,Kolkata,2019-04-27,0.61
A00186,Balveer Vyas,Offshore,Delhi,2021-09-23,0.51
A00187,Advika Devi,Individual,Delhi,2020-03-09,0.63
A00188,Tejas Toor,Business,Chennai,2016-08-04,0.22
A00189,Pooja Goda,Offshore,Kolkata,2019-10-01,0.08
A00190,Jason Dutt,Business,Chennai,2025-08-18,0.11
A00191,Ishani Bedi,Shell,Kolkata,2015-12-25,0.22
A00192,Anusha Karan,Individual,Hyderabad,2024-01-15,0.01
A00193,Chaitanya Lala,Business,Delhi,2016-03-22,0.03
A00194,Nirja Chandran,Offshore,Delhi,2016-08-05,0.68
A00195,Turvi Purohit,Individual,Delhi,2019-10-27,0.89
A00196,Jyoti Panchal,Business,Chennai,2025-06-15,0.59
A00197,Rachita Dube,Offshore,Hyderabad,2019-09-14,0.13
A00198,Thomas Yohannan,Business,Chennai,2016-06-22,0.43
A00199,Jackson Nayak,Business,Chennai,2017-05-15,0.93
A00200,Lucky Morar,Business,Hyderabad,2022-10-10,0.57
A00201,Gunbir Sandhu,Offshore,Mumbai,2017-07-31,0.89
A00202,Netra Dara,Business,Mumbai,2021-05-30,0.72
A00203,Radha Sharaf,Offshore,Hyderabad,2020-09-11,0.49
A00204,Zinal Lad,Offshore,Kolkata,2022-08-21,0.34
A00205,Diya Choudhry,Shell,Kolkata,2019-03-20,0.01
A00206,Rishi Dara,Offshore,Bangalore,2024-09-28,0.65
A00207,Qushi Behl,Offshore,Chennai,2024-01-30,0.13
A00208,Chaaya Sastry,Business,Mumbai,2023-03-07,0.94
A00209,Andrew Dhaliwal,Business,Kolkata,2021-11-08,0.37
A00210,Peter Tandon,Individual,Hyderabad,2023-08-07,0.06
A00211,Zayan Chad,Shell,Chennai,2020-08-09,0.0
A00212,Abhimanyu Narasimhan,Offshore,Mumbai,2015-09-15,0.03
A00213,Udyati Madan,Business,Mumbai,2020-03-15,0.06
A00214,Bishakha Sami,Individual,Bangalore,2019-05-14,0.08
A00215,Krish Parmer,Offshore,Hyderabad,2020-02-22,0.19
A00216,Hemang Handa,Individual,Hyderabad,2023-08-28,0.94
A00217,Benjamin Dutt,Offshore,Kolkata,2020-04-01,0.0
A00218,Bhavini Kant,Individual,Bangalore,2017-08-25,0.86
A00219,Thomas Shukla,Business,Hyderabad,2018-05-12,0.06
A00220,Aahana Subramaniam,Individual,Chennai,2021-06-30,0.73
A00221,Udarsh Cheema,Individual,Chennai,2024-11-01,0.49
A00222,Arunima Tank,Business,Hyderabad,2019-12-27,0.44
A00223,Charita Sahota,Individual,Kolkata,2018-02-10,0.37
A00224,Falak Ganguly,Individual,Delhi,2016-09-16,0.06
A00225,Nachiket Bhatt,Offshore,Hyderabad,2016-12-11,0.12
A00226,Vedika Walia,Business,Delhi,2024-09-19,0.97
A00227,Harita Swaminathan,Offshore,Delhi,2017-04-04,0.82
A00228,Advaith Brahmbhatt,Individual,Mumbai,2016-12-27,0.7
A00229,Panini Subramanian,Offshore,Hyderabad,2021-02-19,0.51
A00230,Aishani Raman,Individual,Mumbai,2021-05-26,0.24
A00231,Noah Patla,Offshore,Bangalore,2017-06-06,0.98
A00232,Ishani Narayanan,Business,Kolkata,2024-03-21,0.57
A00233,Abhiram Basu,Business,Kolkata,2023-09-16,0.48
A00234,Harita Mohanty,Individual,Chennai,2024-08-19,0.57
A00235,Lohit Lad,Offshore,Mumbai,2022-10-22,0.56
A00236,Ayushman Shukla,Business,Kolkata,2025-01-09,0.57
A00237,Rajeshri Pau,Shell,Mumbai,2025-02-17,0.63
A00238,Ekansh Raju,Business,Hyderabad,2024-11-28,0.71
A00239,Yamini Goel,Business,Kolkata,2019-04-12,0.58
A00240,Gunbir Sandal,Business,Delhi,2020-06-30,0.01
A00241,Chaitaly Sangha,Offshore,Chennai,2022-05-08,0.08
A00242,William Dayal,Individual,Mumbai,2017-08-21,0.92
A00243,Charan Dubey,Individual,Delhi,2025-01-14,0.09
A00244,Gaurang Kaur,Business,Chennai,2018-12-07,0.29
A00245,Krishna Bakshi,Business,Delhi,2018-09-18,0.24
A00246,Max Guha,Business,Mumbai,2023-02-10,0.81
A00247,Aradhana Jayaraman,Offshore,Chennai,2018-10-01,0.77
A00248,Vanya Bhatt,Individual,Mumbai,2021-02-05,0.58
A00249,Quincy Taneja,Offshore,Kolkata,2023-04-26,0.04
A00250,Bhavya Balakrishnan,Shell,Chennai,2025-06-03,0.52
A00251,Charvi Bobal,Individual,Hyderabad,2016-09-13,0.65
A00252,Harini Bhardwaj,Offshore,Hyderabad,2017-03-30,0.44
A00253,Henry Bassi,Shell,Kolkata,2021-08-06,0.29
A00254,Jeevika Devan,Individual,Delhi,2017-12-07,0.41
A00255,Damyanti Sur,Shell,Bangalore,2023-09-04,0.99
A00256,Neha Wali,Individual,Kolkata,2021-01-13,0.49
A00257,Darika Sachdeva,Shell,Delhi,2021-06-26,0.99
A00258,Jasmit Jani,Individual,Chennai,2020-05-27,0.04
A00259,Avni Chawla,Offshore,Kolkata,2016-05-08,0.05
A00260,Yutika Tailor,Individual,Mumbai,2019-03-09,0.21
A00261,Bishakha Wason,Shell,Delhi,2022-05-25,0.55
A00262,Raghav Sur,Shell,Kolkata,2020-12-06,0.32
A00263,Nitesh Patla,Individual,Kolkata,2024-04-07,0.08
A00264,Kashvi Varty,Offshore,Bangalore,2018-07-16,0.82
A00265,Jairaj Dani,Shell,Bangalore,2023-11-08,0.23
A00266,Janani Uppal,Shell,Bangalore,2016-09-29,0.23
A00267,Yachana Prabhu,Business,Kolkata,2021-03-10,0.73
A00268,Sachi Walla,Individual,Delhi,2021-07-24,0.18
A00269,Logan Mohan,Offshore,Mumbai,2022-07-26,0.59
A00270,Girik Nagy,Individual,Hyderabad,2020-07-15,0.0
A00271,Saksham Nori,Offshore,Bangalore,2018-11-20,0.9
A00272,Hamsini Mand,Business,Hyderabad,2022-05-07,0.7
A00273,Omisha Raval,Offshore,Bangalore,2019-09-05,0.69
A00274,Dakshesh Dasgupta,Business,Chennai,2018-06-03,0.1
A00275,Harini Devan,Shell,Chennai,2016-02-11,0.94
A00276,Lohit Mane,Offshore,Delhi,2024-11-08,0.57
A00277,Onkar Iyer,Individual,Kolkata,2025-05-26,0.2
A00278,Sai Walia,Business,Mumbai,2024-04-24,0.58
A00279,Aahana Luthra,Individual,Kolkata,2023-05-20,0.28
A00280,Zarna Mangal,Shell,Bangalore,2017-04-05,0.72
A00281,Ubika Bhagat,Offshore,Hyderabad,2018-03-03,0.12
A00282,Vivaan Kuruvilla,Individual,Delhi,2019-08-20,0.63
A00283,Niharika Sibal,Shell,Bangalore,2018-03-18,0.48
A00284,Champak Mitter,Business,Mumbai,2016-10-15,0.2
A00285,Aarush Zacharia,Shell,Kolkata,2018-03-13,0.18
A00286,Urmi Chahal,Individual,Mumbai,2020-09-02,0.95
A00287,Yutika Sarraf,Shell,Mumbai,2025-07-23,0.47
A00288,Ojasvi Deol,Individual,Delhi,2019-07-26,0.49
A00289,Vasatika Seshadri,Individual,Kolkata,2018-12-04,0.71
A00290,Tara Jha,Individual,Chennai,2024-12-27,0.2
A00291,Aachal Luthra,Individual,Kolkata,2019-06-26,0.96
A00292,Lucky Ramachandran,Offshore,Chennai,2023-08-02,0.68
A00293,Krishna Ahuja,Individual,Kolkata,2023-08-23,0.95
A00294,Krishna Varty,Business,Chennai,2020-10-04,0.13
A00295,Damini Salvi,Offshore,Chennai,2024-07-08,0.96
A00296,Barkha Arya,Shell,Delhi,2024-10-02,0.41
A00297,Keya Zachariah,Offshore,Mumbai,2018-12-31,0.07
A00298,Vinaya Khatri,Business,Kolkata,2023-10-22,0.69
A00299,Jeremiah Deshmukh,Individual,Delhi,2024-08-25,0.2
A00300,Rushil Lal,Offshore,Bangalore,2025-07-27,0.91
A00301,Bhavna Wali,Shell,Mumbai,2023-07-20,0.1
A00302,Yadavi Dar,Offshore,Delhi,2020-06-04,0.48
A00303,Nidhi Nazareth,Individual,Delhi,2023-05-31,0.24
A00304,Zehaan Amble,Offshore,Kolkata,2016-11-10,0.24
A00305,Mohini Nazareth,Shell,Kolkata,2021-07-10,0.04
A00306,Om Varghese,Shell,Kolkata,2024-12-16,0.52
A00307,Jalsa Amble,Offshore,Hyderabad,2025-08-06,0.51
A00308,Nathan Sharma,Offshore,Hyderabad,2023-11-02,0.81
A00309,Amara Gaba,Business,Delhi,2019-08-08,0.01
A00310,Saanvi Mani,Offshore,Kolkata,2021-06-12,0.68
A00311,Chandani Pandey,Individual,Delhi,2019-12-11,0.06
A00312,Ekani Minhas,Individual,Kolkata,2025-04-19,0.48
A00313,Liam Amble,Shell,Kolkata,2022-07-09,0.89
A00314,Chakradhar Mahajan,Offshore,Kolkata,2022-09-17,0.87
A00315,Indrajit Parsa,Shell,Delhi,2023-07-12,0.4
A00316,Saksham Rajan,Business,Hyderabad,2023-02-14,0.12
A00317,Divya Mand,Shell,Chennai,2018-08-28,0.43
A00318,Osha Radhakrishnan,Shell,Bangalore,2018-12-24,0.61
A00319,Vrinda Devi,Individual,Delhi,2016-09-12,0.82
A00320,Yuvraj Mallick,Business,Chennai,2023-01-20,0.07
A00321,Abhiram Dewan,Business,Bangalore,2019-05-13,0.09
A00322,Samarth Varughese,Individual,Delhi,2018-09-11,0.96
A00323,Aadi Desai,Shell,Hyderabad,2023-02-28,0.03
A00324,Tripti Mangat,Shell,Chennai,2016-11-30,0.77
A00325,Chasmum Bala,Business,Hyderabad,2020-04-22,0.41
A00326,Krisha Garg,Business,Kolkata,2021-09-14,0.02
A00327,Zashil Kashyap,Individual,Chennai,2017-02-16,0.94
A00328,Meera Boase,Offshore,Delhi,2021-11-25,0.3
A00329,Hemang Kar,Business,Bangalore,2024-01-30,0.61
A00330,Kabir Kapadia,Offshore,Delhi,2018-02-07,0.75
A00331,Aachal Malhotra,Offshore,Bangalore,2023-10-17,0.22
A00332,Raagini Ravi,Offshore,Chennai,2019-06-17,0.49
A00333,Abha Varty,Business,Mumbai,2018-02-16,0.61
A00334,Dhriti Nigam,Shell,Bangalore,2018-01-12,0.6
A00335,Yauvani Bhavsar,Individual,Hyderabad,2015-10-07,0.47
A00336,Logan Kuruvilla,Business,Chennai,2024-03-19,0.79
A00337,Charan Dugar,Business,Chennai,2025-07-26,0.13
A00338,Lajita Rana,Individual,Bangalore,2018-10-04,0.92
A00339,Umang Bath,Shell,Delhi,2015-12-12,0.75
A00340,Lajita Desai,Offshore,Bangalore,2019-01-01,0.76
A00341,Wazir Hans,Individual,Bangalore,2022-09-25,0.88
A00342,Hritik Sawhney,Business,Delhi,2020-01-09,0.03
A00343,Ishaan Grover,Shell,Delhi,2019-06-22,0.31
A00344,Daksh Chauhan,Business,Bangalore,2021-05-19,0.76
A00345,Wahab Shah,Shell,Kolkata,2021-04-05,0.18
A00346,Anay Sathe,Individual,Kolkata,2021-03-21,0.06
A00347,Warinder Tak,Offshore,Mumbai,2018-06-23,0.11
A00348,Oviya Chanda,Offshore,Chennai,2017-02-03,0.79
A00349,Dev Kala,Shell,Chennai,2022-10-11,0.66
A00350,Pooja Char,Offshore,Chennai,2020-06-11,0.23
A00351,Meghana Sheth,Shell,Bangalore,2020-02-09,0.31
A00352,Vrishti Sandhu,Offshore,Bangalore,2017-09-03,0.32
A00353,Yashica Doshi,Business,Chennai,2023-04-16,0.86
A00354,Januja Jha,Offshore,Kolkata,2022-05-23,0.99
A00355,Lavanya Brar,Offshore,Delhi,2025-04-24,0.45
A00356,Aradhana Malhotra,Shell,Delhi,2017-11-26,0.66
A00357,Shivani Joshi,Business,Delhi,2021-04-12,0.11
A00358,Jeremiah Mane,Business,Delhi,2020-03-12,0.52
A00359,Chameli Kulkarni,Individual,Delhi,2017-06-08,0.42
A00360,Faris Pathak,Individual,Delhi,2016-08-27,0.29
A00361,Jackson Sabharwal,Individual,Kolkata,2017-03-16,0.61
A00362,Ekaraj Tata,Shell,Chennai,2017-12-24,0.6
A00363,Aashi Borra,Business,Delhi,2019-08-23,0.94
A00364,Karan Korpal,Shell,Hyderabad,2025-08-26,0.32
A00365,Gaurangi Desai,Shell,Bangalore,2019-03-07,0.26
A00366,Benjamin Trivedi,Shell,Mumbai,2024-04-07,0.84
A00367,Mitesh Padmanabhan,Shell,Chennai,2016-01-20,0.44
A00368,Dayamai Murthy,Offshore,Delhi,2021-12-13,0.91
A00369,Vyanjana Dhillon,Offshore,Chennai,2025-01-24,0.82
A00370,Ekalinga Garde,Shell,Bangalore,2017-04-11,0.83
A00371,Max Mukhopadhyay,Offshore,Mumbai,2024-04-24,0.48
A00372,Kamya Badal,Business,Delhi,2022-10-06,0.15
A00373,Girindra Lad,Offshore,Bangalore,2021-06-08,0.74
A00374,Tanvi Magar,Individual,Kolkata,2018-02-16,0.94
A00375,Qarin Kumer,Business,Kolkata,2018-02-22,0.69
A00376,Vrinda Saraf,Individual,Bangalore,2017-05-10,0.34
A00377,Pranit Cheema,Business,Delhi,2020-04-03,0.49
A00378,Chasmum Prashad,Individual,Bangalore,2019-06-01,0.54
A00379,Raksha Nadkarni,Business,Hyderabad,2022-06-24,0.46
A00380,Lakshit De,Business,Kolkata,2016-07-28,0.32
A00381,Balhaar Seth,Offshore,Mumbai,2016-11-12,0.76
A00382,Kevin Date,Offshore,Mumbai,2017-06-18,0.69
A00383,Advay Ganesan,Business,Bangalore,2016-04-16,0.73
A00384,Oliver De,Shell,Mumbai,2020-11-29,0.29
A00385,Inaya Venkatesh,Business,Chennai,2021-05-03,0.73
A00386,Jason Pingle,Business,Hyderabad,2022-10-18,0.5
A00387,Vedhika Amble,Offshore,Mumbai,2017-11-22,0.48
A00388,Champak Devan,Shell,Mumbai,2017-03-29,0.47
A00389,Panini Dhawan,Business,Kolkata,2017-01-24,0.81
A00390,Eesha Memon,Individual,Bangalore,2016-07-08,0.32
A00391,Oni Oommen,Individual,Hyderabad,2020-06-29,0.83
A00392,Vinaya Mutti,Individual,Hyderabad,2022-07-13,0.33
A00393,Vritti Dayal,Shell,Bangalore,2022-10-10,0.19
A00394,Omisha Batta,Business,Mumbai,2023-09-20,0.62
A00395,Udant Soman,Offshore,Chennai,2024-09-11,0.29
A00396,Vaishnavi Kumer,Offshore,Mumbai,2021-04-12,0.06
A00397,Reva Rajagopal,Shell,Hyderabad,2016-09-19,0.75
A00398,Andrew Viswanathan,Offshore,Mumbai,2016-10-18,0.84
A00399,Ikbal Mane,Business,Hyderabad,2024-02-16,0.43
A00400,Anika Bose,Shell,Mumbai,2017-06-19,0.39
A00401,Nirja Balasubramanian,Offshore,Chennai,2020-02-10,0.63
A00402,Rushil Gaba,Offshore,Kolkata,2023-02-05,0.97
A00403,Garima Pillay,Offshore,Hyderabad,2020-08-09,0.73
A00404,Inaya Cheema,Offshore,Kolkata,2022-10-30,0.44
A00405,Aarnav Baral,Business,Hyderabad,2024-11-13,0.93
A00406,Fitan Tiwari,Business,Chennai,2016-11-11,0.91
A00407,Arya Tank,Offshore,Delhi,2016-06-21,0.06
A00408,Zinal Sharaf,Shell,Chennai,2018-01-08,0.79
A00409,Atharv Soman,Shell,Bangalore,2017-04-02,0.18
